tax	1M	4H	5H	6H	6M	7H	7M	total
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Aurantivirga	21	0	6	58	0	21	31	137
Bacteria;Bacteria_none;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group	8	37	0	0	14	48	22	129
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Porticoccaceae;C1-B045	24	0	8	0	20	21	56	129
Bacteria;Bacteria_none;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Paeniclostridium	48	0	2	0	25	40	13	128
Bacteria;Bacteria_none;Planctomycetota;Planctomycetes;Planctomycetales;Rubinisphaeraceae;Rubinisphaeraceae_uncultured	0	79	1	0	8	0	40	128
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Spongiibacteraceae;Spongiibacteraceae_uncultured	29	0	0	0	18	22	59	128
Bacteria;Bacteria_none;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;Sva0081 sediment group	0	1	7	0	18	61	38	125
Bacteria;Bacteria_none;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Peptoclostridium	72	0	1	0	11	31	8	123
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Marivita	4	109	0	0	1	4	4	122
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Bizionia	32	6	0	1	0	2	80	121
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Thiohalorhabdales;Thiohalorhabdaceae;Thiohalorhabdaceae_uncultured	48	20	0	0	19	10	23	120
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;Nitrincolaceae_uncultured	0	2	33	5	15	6	56	117
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella	116	0	0	0	0	0	0	116
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Meridianimaribacter	0	0	0	0	0	116	0	116
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenellaceae RC9 gut group	116	0	0	0	0	0	0	116
Bacteria;Bacteria_none;Chloroflexi;Anaerolineae;Caldilineales;Caldilineaceae;Caldilineaceae_uncultured	48	6	0	0	1	34	22	111
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Enhydrobacter	36	0	0	7	16	14	38	111
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas	46	6	0	3	34	14	7	110
Bacteria;Bacteria_none;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;Desulfopila	27	51	0	0	3	0	29	110
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Roseomonas	0	0	0	0	0	105	1	106
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Sedimentitalea	27	2	1	0	25	3	40	98
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Candidatus Megaira	0	97	0	0	0	0	0	97
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Endozoicomonadaceae;Endozoicomonas	19	9	0	10	16	15	28	97
Bacteria;Bacteria_none;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 18	16	5	43	0	3	5	24	96
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Cryomorphaceae;Cryomorpha	69	0	0	0	8	0	14	91
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Psychroserpens	15	0	0	3	10	39	22	89
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;Corallomonas	15	23	2	0	7	33	9	89
Bacteria;Bacteria_none;Firmicutes;Bacilli;Mycoplasmatales;Mycoplasmataceae;Mycoplasmataceae_uncultured	27	22	38	0	2	0	0	89
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Macromonas	0	87	0	0	0	0	0	87
Bacteria;Bacteria_none;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Intestinibacter	1	0	13	0	1	70	1	86
Bacteria;Bacteria_none;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcales-Tissierellales_Incertae_sedis;Clostridiisalibacter	84	0	0	0	0	0	0	84
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Cellvibrionaceae;Cellvibrio	24	1	2	1	14	18	23	83
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Planktomarina	19	16	1	0	11	16	18	81
Bacteria;Bacteria_none;Actinobacteriota;Rubrobacteria;Rubrobacterales;Rubrobacteriaceae;Rubrobacter	73	0	0	0	0	0	0	73
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Yoonia-Loktanella	16	27	3	1	2	4	20	73
Bacteria;Bacteria_none;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Peptostreptococcaceae_uncultured	15	0	21	0	2	32	3	73
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kluyvera	6	0	0	65	0	0	0	71
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Porticoccaceae;SAR92 clade	16	1	1	1	6	11	35	71
Bacteria;Bacteria_none;Patescibacteria;Saccharimonadia;Saccharimonadales;Saccharimonadaceae;TM7a	0	1	0	0	1	53	13	68
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Planococcaceae;Lysinibacillus	1	0	0	67	0	0	0	68
Bacteria;Bacteria_none;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 8	19	5	11	0	0	13	20	68
Bacteria;Bacteria_none;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;Urania-1B-19 marine sediment group	0	66	0	0	1	0	0	67
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Thalassobius	15	0	0	0	0	41	11	67
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Leucothrix	44	0	0	0	3	19	0	66
Bacteria;Bacteria_none;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Raineyella	0	0	0	0	0	65	0	65
Bacteria;Bacteria_none;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Bythopirellula	40	0	0	0	6	0	19	65
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Algibacter	1	5	0	12	2	8	36	64
Bacteria;Bacteria_none;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pirellula	3	3	0	0	4	48	3	61
Bacteria;Bacteria_none;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Gallicola	60	0	0	0	0	0	1	61
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Aquibacter	10	4	0	13	1	20	12	60
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Colwelliaceae;Thalassotalea	4	25	4	6	0	5	16	60
Bacteria;Bacteria_none;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Humibacillus	0	0	0	0	0	59	0	59
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Oleiphilaceae;Oleiphilus	19	19	1	4	3	4	9	59
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Crocinitomicaceae;Crocinitomicaceae_uncultured	19	0	0	0	1	24	14	58
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus	20	0	1	0	0	0	34	55
Bacteria;Bacteria_none;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Haloimpatiens	0	0	1	0	0	39	15	55
Bacteria;Bacteria_none;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;[Eubacterium] brachy group	0	0	0	0	0	0	54	54
Bacteria;Bacteria_none;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Microcystaceae;Chalicogloea CCALA 975	0	0	0	0	0	54	0	54
Bacteria;Bacteria_none;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 12	14	8	7	0	6	3	16	54
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella	5	1	7	3	18	1	18	53
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Terasakiellaceae;Terasakiellaceae_uncultured	0	0	53	0	0	0	0	53
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Thiotrichaceae_uncultured	46	0	0	0	6	0	0	52
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Porticoccaceae;Porticoccus	15	0	0	9	6	7	15	52
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Alteromonadaceae;Aestuariibacter	27	3	18	1	0	3	0	52
Bacteria;Bacteria_none;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Janibacter	0	0	0	0	0	49	2	51
Bacteria;Bacteria_none;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcaceae_uncultured	0	50	0	1	0	0	0	51
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Celeribacter	41	1	2	0	1	6	0	51
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Actibacter	0	44	0	0	0	1	4	49
Bacteria;Bacteria_none;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Microtrichaceae_uncultured	0	0	0	0	3	46	0	49
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Planococcaceae;Planococcaceae_uncultured	4	0	0	44	0	0	0	48
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Amylibacter	9	5	0	0	2	2	29	47
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Cohaesibacter	0	0	46	0	0	0	0	46
Bacteria;Bacteria_none;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Microlunatus	0	0	0	1	0	44	0	45
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriaceae;Acetobacterium	0	0	0	0	11	0	34	45
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter	26	0	0	12	2	1	3	44
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseivivax	15	10	0	0	0	14	5	44
Bacteria;Bacteria_none;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;Desulfocapsa	1	2	34	0	0	6	1	44
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Pseudophaeobacter	5	17	0	0	0	13	8	43
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Maribacter	3	0	0	5	0	4	29	41
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;Neptuniibacter	7	1	2	6	2	4	18	40
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Nitrosococcaceae;Cm1-21	0	0	0	0	0	39	0	39
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Tistrellales;Geminicoccaceae;Geminicoccaceae_uncultured	0	27	0	0	0	0	12	39
Bacteria;Bacteria_none;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Solobacterium	0	39	0	0	0	0	0	39
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga	4	1	0	10	5	11	8	39
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter	13	5	0	0	0	13	7	38
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Sulfuritalea	35	0	0	2	0	0	0	37
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Crocinitomicaceae;Brumimicrobium	0	0	0	0	0	0	37	37
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Aeromonadaceae;Oceanisphaera	4	0	1	6	0	0	25	36
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Kangiellaceae;Kangiellaceae_uncultured	16	0	5	0	10	0	4	35
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Cellvibrionaceae;Maricurvus	4	9	6	0	6	0	10	35
Bacteria;Bacteria_none;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;Desulfotalea	1	34	0	0	0	0	0	35
Bacteria;Bacteria_none;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 11	5	1	11	0	0	1	16	34
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;Saprospiraceae_uncultured	0	0	0	0	1	33	0	34
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Marixanthomonas	14	5	0	0	2	0	12	33
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Aequorivita	10	0	0	4	0	1	18	33
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Burkholderiales;Neisseriaceae;Neisseria	6	0	0	1	8	0	18	33
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhizobiales;Devosiaceae;Devosiaceae_uncultured	1	4	0	0	0	0	26	31
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Pseudoruegeria	1	6	0	0	7	9	8	31
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Olleya	6	2	0	10	0	10	3	31
Bacteria;Bacteria_none;Patescibacteria;Saccharimonadia;Saccharimonadales;Saccharimonadaceae;Candidatus Saccharimonas	0	20	0	0	6	3	1	30
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Chromatiales;Sedimenticolaceae;Sedimenticolaceae_uncultured	0	6	0	1	12	2	9	30
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea	8	0	0	22	0	0	0	30
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Lacticigenium	0	0	0	0	0	30	0	30
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;Nitrosomonas	0	7	0	1	0	0	22	30
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Maritimimonas	2	0	1	5	7	3	11	29
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Loktanella	0	0	0	0	3	0	25	28
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Xanthomarina	3	0	0	14	1	6	4	28
Bacteria;Bacteria_none;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Agrococcus	0	0	0	0	0	28	0	28
Bacteria;Bacteria_none;Firmicutes;Clostridia;Monoglobales;Monoglobaceae;Monoglobus	1	0	26	0	0	0	0	27
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halomonadaceae;Halomonadaceae_uncultured	2	0	1	1	10	6	7	27
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;Amphritea	7	0	0	7	0	2	11	27
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pseudoalteromonadaceae;Algicola	12	0	0	12	0	0	3	27
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides	4	0	0	0	0	0	22	26
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Tateyamaria	2	12	0	0	0	5	7	26
Bacteria;Bacteria_none;Desulfobacterota;Desulfobacteria;Desulfatiglandales;Desulfatiglandaceae;Desulfatiglans	0	0	0	0	0	0	26	26
Bacteria;Bacteria_none;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 6	7	3	4	0	3	0	8	25
Bacteria;Bacteria_none;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Propionibacteriaceae_uncultured	4	0	0	0	5	14	2	25
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;Pelagibius	0	25	0	0	0	0	0	25
Bacteria;Bacteria_none;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 5	7	1	3	0	2	1	11	25
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Salinimicrobium	4	2	1	3	1	11	3	25
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseibacterium	20	3	0	0	0	2	0	25
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Cognatishimia	0	24	0	0	0	0	0	24
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Cryomorphaceae;NS10 marine group	0	0	24	0	0	0	0	24
Bacteria;Bacteria_none;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Parvimonas	0	0	0	0	2	15	7	24
Bacteria;Bacteria_none;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Leucobacter	0	0	0	0	0	23	1	24
Bacteria;Bacteria_none;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;Peptococcaceae_uncultured	0	0	22	0	0	1	0	23
Bacteria;Bacteria_none;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-008	8	0	0	0	0	15	0	23
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halomonadaceae;Aidingimonas	5	0	0	0	5	0	12	22
Bacteria;Bacteria_none;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Fournierella	0	0	0	0	0	0	22	22
Bacteria;Bacteria_none;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;Desulfonispora	0	0	0	0	2	20	0	22
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseobacter	12	4	0	0	1	1	4	22
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Planococcaceae;Psychrobacillus	0	0	0	22	0	0	0	22
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Ponticoccus	0	0	0	0	0	22	0	22
Bacteria;Bacteria_none;Myxococcota;Polyangia;Polyangiales;Sandaracinaceae;Sandaracinaceae_uncultured	0	0	0	0	14	0	8	22
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Plesiomonas	14	0	1	7	0	0	0	22
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Ahrensia	0	0	0	0	0	0	22	22
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Morganella	14	0	0	6	0	0	1	21
Bacteria;Bacteria_none;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter	12	0	0	0	0	9	0	21
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Defluviimonas	8	3	0	0	8	0	2	21
Bacteria;Bacteria_none;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter	2	0	0	0	0	0	18	20
Bacteria;Bacteria_none;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Dethiosulfatibacteraceae;Dethiosulfatibacter	0	0	0	0	5	0	15	20
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS4 marine group	3	1	0	9	0	2	5	20
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methyloligellaceae;Methyloligellaceae_uncultured	0	2	0	0	7	2	9	20
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	0	0	0	4	0	0	16	20
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Nitrosococcaceae;AqS1	1	0	0	0	0	0	19	20
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Lutibacter	1	1	0	0	4	2	12	20
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Saccharospirillaceae;Saccharospirillaceae_uncultured	5	2	0	1	0	2	9	19
Bacteria;Bacteria_none;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;[Eubacterium] nodatum group	4	0	1	0	4	4	6	19
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;Clade Ib	19	0	0	0	0	0	0	19
Bacteria;Bacteria_none;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium	0	0	0	1	0	17	1	19
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Psychromonadaceae;Agarivorans	10	0	0	9	0	0	0	19
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Epibacterium	0	7	0	0	0	6	5	18
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Sediminibacterium	18	0	0	0	0	0	0	18
Bacteria;Bacteria_none;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Luteococcus	0	0	0	0	0	18	0	18
Bacteria;Bacteria_none;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Family XIII AD3011 group	0	0	0	0	0	7	11	18
Bacteria;Bacteria_none;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Anaerovorax	0	0	0	0	0	0	18	18
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Kangiellaceae;Pleionea	4	2	3	0	2	2	5	18
Bacteria;Bacteria_none;Planctomycetota;Planctomycetes;Planctomycetales;Rubinisphaeraceae;Planctomicrobium	0	0	0	0	17	0	1	18
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Oceaniovalibus	1	0	0	0	1	0	16	18
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Shimia	4	2	0	0	0	3	9	18
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Marinibacterium	17	0	0	0	0	0	1	18
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseobacter clade CHAB-I-5 lineage	2	15	0	0	0	0	0	17
